1* Populacao:
Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 260, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.394, 464, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.1308, 348, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.1%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

8* Populacao:
Genes: [3.855, 125, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [5.6906, 157, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [7.5773, 372, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 207, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 125, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [5.6906, 207, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 207, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 450, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 377, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [8.9172, 260, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

9* Populacao:
Genes: [7.5773, 157, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [1.0691, 372, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 377, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 328, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 125, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 377, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 377, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [0.1758, 125, 0, 1] -> Acuracia: 85.5%, Precisao: 71.1%, Recall: 54.1%, Media: 67.8%
Genes: [3.855, 377, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 125, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

10* Populacao:
Genes: [6.0925, 223, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 443, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 377, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 125, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [3.855, 125, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.4435, 377, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [0.6996, 360, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.1%, Media: 67.8%
Genes: [1.0691, 125, 1, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [6.0925, 125, 0, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%
Genes: [4.2042, 377, 0, 0] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%

Melhores Genes: [7.2419, 275, 1, 1] -> Acuracia: 85.5%, Precisao: 71.0%, Recall: 54.2%, Media: 67.8%


Performance no Teste -> Acuracia: 85.4%, Precisao: 70.4%, Recall: 54.0%, Media: 67.5%
