1* Populacao:
Cromossomo: [1336, 0.0832, 45, 9, 0.6723, 0.6053, 18, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [989, 0.0832, 45, 9, 0.9114, 0.7311, 23, 2.4735, 0.2946] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [798, 0.1948, 53, 9, 0.9114, 0.7311, 28, 1.7524, 0.2946] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [989, 0.0832, 53, 6, 0.9114, 0.7311, 23, 0.231, 0.3999] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [798, 0.1445, 53, 6, 0.9542, 0.7311, 28, 0.231, 0.9464] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [1023, 0.1948, 20, 9, 0.5015, 0.7087, 14, 2.5608, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1393, 0.1445, 20, 7, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [798, 0.1948, 53, 6, 0.9114, 0.6822, 28, 0.231, 0.3999] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [1023, 0.1445, 53, 6, 0.5015, 0.5342, 28, 0.231, 0.3999] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [798, 0.1948, 20, 9, 0.9114, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

4* Populacao:
Cromossomo: [798, 0.1445, 53, 6, 0.9542, 0.8698, 28, 0.231, 0.3999] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [798, 0.1948, 53, 6, 0.9114, 0.7311, 28, 1.8222, 1.8933] -> Acuracia: 82.2%, Precisao: 84.0%, Recall: 84.0%, Performance: 83.4%
Cromossomo: [989, 0.1107, 20, 9, 0.9114, 0.9585, 30, 0.231, 0.2946] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [798, 0.1948, 25, 6, 0.949, 0.7311, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1393, 0.1948, 20, 7, 0.5015, 0.8159, 14, 2.5608, 0.3999] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%
Cromossomo: [1023, 0.1445, 20, 6, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [798, 0.1107, 53, 6, 0.9114, 0.7311, 25, 0.231, 0.3999] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [989, 0.1948, 25, 6, 0.949, 0.6822, 18, 1.7524, 0.2946] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [989, 0.0832, 25, 6, 0.949, 0.7311, 23, 1.7524, 0.3999] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [989, 0.1107, 53, 6, 0.9114, 0.7311, 25, 0.231, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

5* Populacao:
Cromossomo: [798, 0.1948, 20, 9, 0.9114, 0.7311, 14, 1.6893, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [989, 0.1107, 25, 6, 0.949, 0.9585, 30, 0.231, 0.3999] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [1023, 0.1107, 20, 6, 0.5015, 0.7087, 25, 0.231, 0.1964] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [989, 0.1445, 39, 6, 0.9114, 0.7311, 14, 0.231, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1023, 0.1445, 25, 6, 0.5015, 0.7087, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [798, 0.1948, 20, 6, 0.949, 0.7311, 14, 0.231, 0.3999] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [798, 0.1948, 53, 6, 0.949, 0.7311, 14, 1.8222, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [798, 0.1948, 25, 6, 0.9293, 0.7311, 28, 1.7524, 1.8933] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%
Cromossomo: [1023, 0.1445, 20, 6, 0.5015, 0.7087, 25, 1.0725, 0.3999] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [989, 0.1107, 53, 6, 0.9114, 0.7311, 14, 0.231, 0.2946] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

6* Populacao:
Cromossomo: [798, 0.1948, 25, 6, 0.7088, 0.7087, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [105, 0.1445, 20, 6, 0.5015, 0.7311, 14, 0.231, 0.3999] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.3%
Cromossomo: [1283, 0.1948, 20, 6, 0.9114, 0.8858, 10, 1.6893, 0.2946] -> Acuracia: 84.4%, Precisao: 84.6%, Recall: 88.0%, Performance: 85.7%
Cromossomo: [798, 0.1948, 53, 9, 0.949, 0.7311, 14, 1.8222, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1023, 0.1948, 20, 9, 0.5015, 0.9306, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [730, 0.1445, 25, 6, 0.9114, 0.7087, 14, 1.6893, 0.2946] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [989, 0.166, 39, 6, 0.5015, 0.7311, 14, 0.231, 0.2946] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1023, 0.1445, 25, 6, 0.9114, 0.7842, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1499, 0.1948, 25, 6, 0.949, 0.7087, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [798, 0.1445, 53, 6, 0.5015, 0.8837, 14, 1.8222, 1.7008] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

7* Populacao:
Cromossomo: [1499, 0.1948, 25, 6, 0.5015, 0.7087, 14, 1.7524, 2.438] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [1023, 0.1948, 20, 10, 0.949, 0.9306, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [798, 0.1948, 20, 6, 0.7088, 0.8858, 14, 1.6893, 2.3495] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [1283, 0.1948, 25, 6, 0.6261, 0.7087, 9, 1.7524, 0.0807] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1023, 0.1948, 25, 6, 0.9114, 0.5678, 14, 1.7524, 0.3999] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 77.5%
Cromossomo: [798, 0.1445, 25, 6, 0.7088, 0.7087, 14, 1.7524, 0.3999] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1283, 0.1948, 25, 3, 0.949, 0.8858, 14, 1.6893, 0.3999] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomo: [1499, 0.1948, 20, 6, 0.9114, 0.7087, 10, 1.7524, 0.4042] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [989, 0.166, 20, 6, 0.9114, 0.7311, 14, 0.231, 0.2946] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1283, 0.1948, 39, 6, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%

Melhor Cromossomo: [1023, 0.1445, 20, 9, 0.5015, 0.7087, 14, 0.231, 0.3999] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%

8* Populacao:
Cromossomo: [989, 0.1948, 39, 6, 0.9114, 0.7311, 14, 0.231, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1283, 0.166, 59, 6, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 86.7%, Precisao: 82.8%, Recall: 96.0%, Performance: 88.5%
Cromossomo: [1283, 0.1948, 25, 6, 0.5015, 0.7087, 9, 0.6764, 0.0807] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1216, 0.1948, 39, 6, 0.6953, 0.8858, 10, 1.7524, 0.2946] -> Acuracia: 86.7%, Precisao: 82.8%, Recall: 96.0%, Performance: 88.5%
Cromossomo: [1283, 0.1948, 25, 6, 0.7088, 0.8322, 9, 1.7524, 0.3999] -> Acuracia: 84.4%, Precisao: 84.6%, Recall: 88.0%, Performance: 85.7%
Cromossomo: [798, 0.1445, 25, 6, 0.5683, 0.7087, 28, 2.4451, 1.5322] -> Acuracia: 80.0%, Precisao: 83.3%, Recall: 80.0%, Performance: 81.1%
Cromossomo: [1023, 0.1948, 26, 6, 0.9244, 0.7087, 14, 1.7524, 0.4042] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1499, 0.1948, 25, 6, 0.9114, 0.5678, 10, 1.7524, 0.3999] -> Acuracia: 73.3%, Precisao: 76.0%, Recall: 76.0%, Performance: 75.1%
Cromossomo: [1283, 0.0877, 39, 6, 0.6261, 0.8858, 9, 1.8028, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [1283, 0.1948, 25, 6, 0.5015, 0.7087, 10, 0.6764, 0.0807] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 79.9%

Melhor Cromossomo: [1283, 0.166, 59, 6, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 86.7%, Precisao: 82.8%, Recall: 96.0%, Performance: 88.5%

9* Populacao:
Cromossomo: [1216, 0.1948, 39, 6, 0.9114, 0.7311, 10, 0.231, 0.2946] -> Acuracia: 84.4%, Precisao: 84.6%, Recall: 88.0%, Performance: 85.7%
Cromossomo: [989, 0.1948, 39, 6, 0.5631, 0.8858, 14, 1.7524, 0.2946] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [1216, 0.1948, 39, 6, 0.7088, 0.8322, 10, 1.7524, 0.2946] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 79.9%
Cromossomo: [1283, 0.1948, 25, 6, 0.6953, 0.8858, 9, 1.7524, 0.3999] -> Acuracia: 86.7%, Precisao: 85.2%, Recall: 92.0%, Performance: 88.0%
Cromossomo: [1283, 0.0877, 39, 6, 0.6261, 0.6976, 10, 1.8028, 0.2946] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1216, 0.1948, 39, 6, 0.6953, 0.8858, 9, 2.3237, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [989, 0.1948, 39, 6, 0.9114, 0.8858, 14, 0.231, 0.2946] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 82.2%
Cromossomo: [1216, 0.1948, 39, 6, 0.6953, 0.7311, 10, 1.7524, 0.2946] -> Acuracia: 82.2%, Precisao: 84.0%, Recall: 84.0%, Performance: 83.4%
Cromossomo: [1216, 0.166, 39, 6, 0.7404, 0.8858, 10, 1.7524, 0.2946] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [1283, 0.1948, 59, 3, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%

Melhor Cromossomo: [1283, 0.166, 59, 6, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 86.7%, Precisao: 82.8%, Recall: 96.0%, Performance: 88.5%

10* Populacao:
Cromossomo: [989, 0.1948, 39, 6, 0.6953, 0.8858, 14, 1.7524, 0.2946] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [1283, 0.1948, 25, 6, 0.8322, 0.8858, 9, 1.7524, 2.5496] -> Acuracia: 77.8%, Precisao: 82.6%, Recall: 76.0%, Performance: 78.8%
Cromossomo: [989, 0.1948, 39, 6, 0.5631, 0.8858, 14, 0.231, 0.2946] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 82.2%
Cromossomo: [989, 0.1948, 39, 6, 0.6508, 0.8858, 14, 1.7524, 0.2946] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [283, 0.1948, 59, 9, 0.5015, 0.8858, 10, 1.7524, 0.3999] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1283, 0.1586, 25, 6, 0.6953, 0.8858, 9, 0.6764, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%
Cromossomo: [989, 0.1738, 39, 6, 0.6953, 0.8858, 9, 2.1524, 0.3999] -> Acuracia: 82.2%, Precisao: 84.0%, Recall: 84.0%, Performance: 83.4%
Cromossomo: [1283, 0.1948, 25, 6, 0.5631, 0.8858, 14, 1.7524, 0.2946] -> Acuracia: 84.4%, Precisao: 82.1%, Recall: 92.0%, Performance: 86.2%
Cromossomo: [1283, 0.1948, 59, 6, 0.5015, 0.8858, 19, 1.7524, 0.2946] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 83.9%
Cromossomo: [1216, 0.166, 39, 3, 0.7082, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 81.6%

Melhor Cromossomo: [1283, 0.166, 59, 6, 0.5015, 0.8858, 10, 0.6764, 0.2946] -> Acuracia: 86.7%, Precisao: 82.8%, Recall: 96.0%, Performance: 88.5%


Performance no Teste -> Acuracia: 69.6%, Precisao: 70.4%, Recall: 76.0%, Media: 73.1%
