1* Populacao:
Cromossomo: [6, 0, 1, 31] -> Acuracia: 96.9%, Precisao: 99.3%, Recall: 79.7%, Media: 91.1%
Cromossomo: [2, 1, 1, 32] -> Acuracia: 98.1%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [7, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 98.9%, Recall: 88.3%, Media: 94.8%
Cromossomo: [7, 1, 1, 21] -> Acuracia: 98.7%, Precisao: 98.9%, Recall: 88.3%, Media: 94.8%
Cromossomo: [2, 1, 1, 30] -> Acuracia: 98.1%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 0, 1, 26] -> Acuracia: 92.3%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [27, 1, 1, 24] -> Acuracia: 92.2%, Precisao: 99.7%, Recall: 48.1%, Media: 72.0%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

6* Populacao:
Cromossomo: [2, 0, 1, 87] -> Acuracia: 98.1%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [7, 1, 1, 74] -> Acuracia: 98.7%, Precisao: 98.9%, Recall: 88.3%, Media: 94.8%
Cromossomo: [2, 0, 2, 30] -> Acuracia: 93.5%, Precisao: 96.0%, Recall: 70.7%, Media: 85.6%
Cromossomo: [23, 1, 1, 21] -> Acuracia: 98.1%, Precisao: 99.7%, Recall: 56.4%, Media: 78.0%
Cromossomo: [30, 1, 1, 65] -> Acuracia: 97.3%, Precisao: 99.7%, Recall: 43.0%, Media: 67.9%
Cromossomo: [7, 0, 1, 24] -> Acuracia: 91.3%, Precisao: 98.3%, Recall: 82.8%, Media: 92.2%
Cromossomo: [2, 0, 2, 26] -> Acuracia: 98.7%, Precisao: 96.0%, Recall: 70.7%, Media: 85.6%
Cromossomo: [2, 1, 1, 87] -> Acuracia: 92.3%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 2, 30] -> Acuracia: 98.7%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [2, 1, 1, 40] -> Acuracia: 98.1%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

7* Populacao:
Cromossomo: [21, 0, 1, 40] -> Acuracia: 98.7%, Precisao: 98.5%, Recall: 36.3%, Media: 61.5%
Cromossomo: [2, 1, 1, 41] -> Acuracia: 98.1%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 40] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 30] -> Acuracia: 98.1%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 83] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 74] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 88] -> Acuracia: 96.9%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [6, 0, 1, 11] -> Acuracia: 98.1%, Precisao: 99.3%, Recall: 79.7%, Media: 91.1%
Cromossomo: [2, 1, 1, 51] -> Acuracia: 86.8%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [27, 0, 0, 69] -> Acuracia: 92.3%, Precisao: 86.3%, Recall: 12.8%, Media: 29.6%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

8* Populacao:
Cromossomo: [2, 1, 1, 25] -> Acuracia: 96.9%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [6, 0, 1, 11] -> Acuracia: 96.9%, Precisao: 99.3%, Recall: 79.7%, Media: 91.1%
Cromossomo: [20, 1, 2, 51] -> Acuracia: 98.4%, Precisao: 94.9%, Recall: 29.5%, Media: 53.9%
Cromossomo: [6, 1, 1, 11] -> Acuracia: 98.1%, Precisao: 98.7%, Recall: 90.3%, Media: 95.6%
Cromossomo: [2, 1, 1, 88] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 64] -> Acuracia: 96.9%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 40] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 53] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 41] -> Acuracia: 96.5%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 0, 18] -> Acuracia: 98.7%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

9* Populacao:
Cromossomo: [2, 1, 1, 25] -> Acuracia: 96.5%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 2, 64] -> Acuracia: 96.9%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [6, 1, 1, 41] -> Acuracia: 98.6%, Precisao: 98.7%, Recall: 90.3%, Media: 95.6%
Cromossomo: [3, 1, 1, 11] -> Acuracia: 98.1%, Precisao: 97.6%, Recall: 93.0%, Media: 96.3%
Cromossomo: [2, 0, 1, 53] -> Acuracia: 98.7%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [2, 1, 1, 88] -> Acuracia: 98.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 1, 64] -> Acuracia: 96.5%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [2, 1, 2, 41] -> Acuracia: 96.9%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [2, 1, 0, 88] -> Acuracia: 92.9%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [25, 1, 1, 40] -> Acuracia: 98.7%, Precisao: 99.6%, Recall: 52.1%, Media: 75.0%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%

10* Populacao:
Cromossomo: [2, 1, 0, 14] -> Acuracia: 96.9%, Precisao: 88.5%, Recall: 88.1%, Media: 90.9%
Cromossomo: [6, 0, 1, 25] -> Acuracia: 98.6%, Precisao: 99.3%, Recall: 79.7%, Media: 91.1%
Cromossomo: [2, 1, 1, 38] -> Acuracia: 98.4%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [6, 1, 1, 41] -> Acuracia: 98.7%, Precisao: 98.7%, Recall: 90.3%, Media: 95.6%
Cromossomo: [13, 1, 1, 25] -> Acuracia: 98.4%, Precisao: 99.5%, Recall: 77.9%, Media: 90.3%
Cromossomo: [6, 1, 1, 95] -> Acuracia: 96.5%, Precisao: 98.7%, Recall: 90.3%, Media: 95.6%
Cromossomo: [2, 0, 1, 25] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [2, 0, 1, 73] -> Acuracia: 98.7%, Precisao: 99.3%, Recall: 88.6%, Media: 95.1%
Cromossomo: [2, 1, 1, 24] -> Acuracia: 98.4%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%
Cromossomo: [6, 1, 1, 23] -> Acuracia: 98.7%, Precisao: 98.7%, Recall: 90.3%, Media: 95.6%

Melhor Cromossomo: [2, 1, 1, 24] -> Acuracia: 88.7%, Precisao: 95.9%, Recall: 95.2%, Media: 96.6%


Performance no Teste -> Acuracia: 98.7%, Precisao: 96.0%, Recall: 95.0%, Media: 96.5%
