1* Populacao:
Cromossomos: [265, 13, 10, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 4, 1] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [236, 13, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

6* Populacao:
Cromossomos: [363, 14, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 4, 2] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 19, 9, 4, 1] -> Acuracia: 73.3%, Precisao: 76.0%, Recall: 76.0%, Performance: 75.6%
Cromossomos: [363, 19, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [156, 19, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 84.2%
Cromossomos: [236, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [126, 13, 5, 1, 1] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 13, 5, 3, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

7* Populacao:
Cromossomos: [363, 14, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 4, 4, 1] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 84.2%
Cromossomos: [363, 19, 9, 4, 1] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [236, 13, 5, 4, 2] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 13, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 5, 3, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [385, 13, 5, 3, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 13, 5, 3, 0] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [126, 9, 2, 3, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [194, 13, 10, 1, 1] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

8* Populacao:
Cromossomos: [363, 14, 10, 1, 1] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 13, 5, 3, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 13, 5, 3, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 19, 4, 4, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [236, 13, 5, 1, 2] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 13, 5, 4, 2] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [385, 13, 2, 3, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [126, 9, 5, 3, 0] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 11, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 14, 4, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

9* Populacao:
Cromossomos: [363, 14, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 4, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 11, 4, 4, 0] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 13, 5, 1, 2] -> Acuracia: 75.6%, Precisao: 79.2%, Recall: 76.0%, Performance: 76.9%
Cromossomos: [363, 13, 5, 4, 0] -> Acuracia: 80.0%, Precisao: 78.6%, Recall: 88.0%, Performance: 84.2%
Cromossomos: [236, 13, 5, 1, 2] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 7, 10, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 19, 4, 4, 1] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%
Cromossomos: [363, 11, 5, 1, 0] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

10* Populacao:
Cromossomos: [363, 19, 4, 5, 0] -> Acuracia: 73.3%, Precisao: 76.0%, Recall: 76.0%, Performance: 75.6%
Cromossomos: [293, 11, 5, 1, 2] -> Acuracia: 77.8%, Precisao: 80.0%, Recall: 80.0%, Performance: 79.7%
Cromossomos: [363, 19, 5, 1, 1] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [363, 7, 4, 1, 1] -> Acuracia: 77.8%, Precisao: 77.8%, Recall: 84.0%, Performance: 81.3%
Cromossomos: [236, 13, 10, 1, 1] -> Acuracia: 75.6%, Precisao: 76.9%, Recall: 80.0%, Performance: 78.5%
Cromossomos: [363, 7, 5, 1, 2] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 14, 5, 1, 1] -> Acuracia: 80.0%, Precisao: 80.8%, Recall: 84.0%, Performance: 82.5%
Cromossomos: [363, 21, 5, 1, 0] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [236, 19, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%
Cromossomos: [363, 13, 4, 2, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

Melhores Cromossomos: [123, 13, 5, 1, 1] -> Acuracia: 82.2%, Precisao: 81.5%, Recall: 88.0%, Performance: 85.3%

